feature,gain,split,combined
CORD60,0.04499712934192468,0.027333333333333334,0.03969799053934727
WVMA60,0.04189702922801914,0.014833333333333334,0.0337779204596134
VWAP0,0.028965721687489756,0.017166666666666667,0.025426005181242828
obv,0.01934266528059067,0.022,0.02013986569641347
volatility_10,0.018770674700676088,0.0225,0.019889472290473262
ROC60,0.022598233576283683,0.010666666666666666,0.019018763503398574
KLOW,0.01897262537111674,0.015666666666666666,0.017980837759781716
CORD20,0.018436213157705186,0.015,0.01740534921039363
volatility_20,0.016084958322673554,0.017666666666666667,0.01655947082587149
IMIN60,0.015309983066275594,0.015333333333333332,0.015316988146392915
BETA60,0.013400922909272523,0.01633333333333333,0.014280646036490763
ROC5,0.017488994422931916,0.0055,0.013892296096052342
换手率,0.014031043144975622,0.011166666666666667,0.013171730201482936
CORR60,0.009519661975780839,0.016666666666666666,0.011663763383046586
MIN5,0.012442355014877657,0.009666666666666667,0.011609648510414359
STD30,0.01301634199337767,0.008166666666666666,0.011561439395364368
CORD10,0.012224753856840685,0.009333333333333334,0.01135732769978848
IMIN30,0.010098743502539127,0.012333333333333333,0.010769120451777388
IMXD60,0.009497086333647998,0.012333333333333333,0.010347960433553597
IMAX60,0.009038967131287073,0.012666666666666666,0.010127276991900951
MIN60,0.010018417670747994,0.01,0.010012892369523595
MAX20,0.011425734086035933,0.005833333333333334,0.009748013860225153
WVMA30,0.008853829885257458,0.0115,0.00964768091968022
IMAX30,0.010379985094041812,0.0075,0.009515989565829268
volume_change,0.009345921721765441,0.009666666666666667,0.009442145205235808
CORR10,0.008780003448674927,0.0105,0.009296002414072448
volume_ratio,0.007523784754423457,0.012666666666666666,0.00906664932809642
KSFT2,0.010234101749225915,0.005833333333333334,0.00891387122445814
STD60,0.008625337521753979,0.009,0.008737736265227785
MAX30,0.010030767877445822,0.005666666666666667,0.008721537514212075
kdj_k,0.009624667057037418,0.0065,0.008687266939926191
成交额,0.008028450338401338,0.010166666666666666,0.008669915236880935
SUMP5,0.008919277370406755,0.006833333333333334,0.008293494159284728
CORD5,0.008783451207098439,0.006333333333333333,0.008048415844968907
RESI10,0.007580466011413774,0.009,0.00800632620798964
QTLD30,0.007721666765032778,0.008166666666666666,0.007855166735522943
CORR30,0.006212033048053353,0.011666666666666667,0.007848423133637346
atr_14,0.00629954105264268,0.011,0.007709678736849876
volume_ma_5,0.007352659087706713,0.008166666666666666,0.007596861361394699
IMXD30,0.007534415048611343,0.007666666666666666,0.00757409053402794
RESI5,0.007287510498383119,0.008166666666666666,0.007551257348868183
BETA30,0.006431371318557733,0.009833333333333333,0.007451959922990413
RSV60,0.009205251728404702,0.0028333333333333335,0.007293676209883291
RESI30,0.0063549802871272956,0.008666666666666666,0.007048486200989106
kdj_d,0.006772653777909604,0.007666666666666666,0.007040857644536723
MAX60,0.006391949597338556,0.0085,0.007024364718136989
MIN20,0.007076054499667564,0.006833333333333334,0.007003238149767294
VSUMN30,0.008005324940325353,0.004333333333333333,0.006903727458227747
RSV5,0.007083773362990993,0.006,0.006758641354093695
VSUMP60,0.0056778223732514635,0.009166666666666667,0.006724475661276024
boll_std,0.007516088989940169,0.0045,0.0066112622929581175
